"","directorio","p6050","fex_c","ingtot","ocu","p6210s1","p6210","maxEducLevel","p6426","age","sex","estrato1","formal","informal","clase","oficio","sizeFirm","p7040","hoursWorkUsual","relab","cuentaPropia","microEmpresa","college","mean_ingtot","ingtot_boxcox","age_2","nuevo_pred","residuos","prediccion1","prediccion1_boxcox","female","log_income","predict_gender","femalenum","res_y","res_f","maxEducLevel_years","p6210_years","exp_pot_maxedu","exp_pot_p6210","exp_pot_p6210_2","dos_trabajo"
"724","4526820","1",390.675524437783,1e+06,"1","11","5","6",36,33,"1","1","0","1","1","98","1","2",60,"4","1","1","1",1e+06,17.7399710600835,1089,1531967.21353934,-531967.213539335,1531967.21353935,17.9790419069298,"0",13.8155105579643,2094083.88580498,0,0.463094872352219,-0.44800451113473,11,13,17,15,225,0
"725","4526821","1",352.079215448786,8e+05,"1","5","3","4",12,47,"1","2","0","1","1","98","1","2",48,"4","1","1","0",1405191.83333333,17.3804537583836,2209,1846603.41518175,-1046603.41518175,1846603.41518176,18.1086568317468,"0",13.5923670066501,2096127.62442332,0,0.249766112935903,-0.482844752415574,5,5,37,37,1369,0
"726","4526821","2",352.079215448786,2010383.66666667,"1","3","6","7",108,34,"0","2","1","0","1","59","2","2",48,"1","0","1","0",1405191.83333333,18.8832889137974,1156,1563645.77619278,446737.890473885,1563645.7761928,18.0022785150496,"1",14.5138361407588,1499367.98060372,1,0.176952515728437,0.50173923463895,15,19,14,10,100,0
"727","4526823","1",352.079215448786,1049166.66666667,"1","11","5","6",12,34,"1","1","1","0","1","85","5","2",58,"1","0","0","1",1049166.66666667,17.8176655795209,1156,1563645.77619278,-514479.109526114,1563645.7761928,18.0022785150496,"0",13.8635067562325,1361176.35247874,0,0.0162580005392803,-0.390486867760337,11,13,18,16,256,0
"728","4526824","3",232.254737058118,609083,"1","5","6","7",22,23,"1","3","1","0","1","2","4","2",48,"1","0","0","0",609083,16.9449359378143,529,1137296.94796283,-528213.947962826,1137296.94796284,17.6283970632346,"0",13.3197098264039,1304587.48843098,0,-0.836459243448684,-0.482101974706733,15,19,3,0,0,0
"729","4526825","1",313.249835350714,1800000,"1","9","4","5",360,59,"1","1","0","1","1","98","2","2",48,"5","0","1","0",1201268.88888889,18.7004553166052,3481,1895382.43000802,-95382.4300080199,1895382.43000803,17.8842737578305,"0",14.4032972228664,1185116.09201668,0,0.8892965113242,-0.342421815170675,10,9,44,45,2025,0
"730","4526825","2",313.249835350714,1053806.66666667,"1","2","6","7",8,25,"0","1","1","0","1","45","5","1",48,"1","0","0","0",1201268.88888889,17.8248153893587,625,1227559.67584788,-173753.009181205,1227559.67584789,17.7157302156096,"1",13.8679195630484,1685584.14092843,1,-0.13697509671257,0.568738389539487,15,19,5,1,1,1
"731","4526825","1",313.249835350714,750000,"1","11","5","6",120,28,"1","1","0","1","1","97","2","2",30,"1","0","1","1",1201268.88888889,17.2769921288677,784,1352333.13507881,-602333.135078811,1352333.13507882,17.8306010220135,"0",13.5278284855125,1698557.49650444,0,0.16241873062205,-0.403707714090029,11,13,12,10,100,0
"732","4526826","1",218.961154283874,350000,"1","5","3","4",36,59,"1","2","0","1","1","81","2","2",48,"4","1","1","0",375000,16.0726215790876,3481,1895382.43000802,-1545382.43000802,1895382.43000803,17.8842737578305,"0",12.7656884334656,1566552.91427384,0,-0.485703229229,-0.438943465012424,5,5,49,49,2401,0
"733","4526826","2",218.961154283874,4e+05,"1","8","4","5",36,50,"0","2","0","1","1","45","1","2",48,"4","1","1","0",375000,16.281332745373,2500,1877915.30756226,-1477915.30756226,1877915.30756228,18.0815931231535,"1",12.8992198260901,1683561.79994605,1,-0.439385883365349,0.496218149000685,10,9,35,36,1296,0
